Country,Code,Year,Internet_Users_Percent,Region,IncomeGroup
Aruba,ABW,1990,0.0,Latin America & Caribbean,High income
Afghanistan,AFG,1990,0.0,Middle East & North Africa,Low income
Angola,AGO,1990,0.0,Sub-Saharan Africa,Lower middle income
Albania,ALB,1990,0.0,Europe & Central Asia,Upper middle income
Andorra,AND,1990,0.0,Europe & Central Asia,High income
United Arab Emirates,ARE,1990,0.0,Middle East & North Africa,High income
Argentina,ARG,1990,0.0,Latin America & Caribbean,Upper middle income
Armenia,ARM,1990,0.0,Europe & Central Asia,Upper middle income
American Samoa,ASM,1990,0.0,East Asia & Pacific,High income
Antigua and Barbuda,ATG,1990,0.0,Latin America & Caribbean,High income
Australia,AUS,1990,0.585,East Asia & Pacific,High income
Austria,AUT,1990,0.13,Europe & Central Asia,High income
Azerbaijan,AZE,1990,0.0,Europe & Central Asia,Upper middle income
Burundi,BDI,1990,0.0,Sub-Saharan Africa,Low income
Belgium,BEL,1990,0.00101,Europe & Central Asia,High income
Benin,BEN,1990,0.0,Sub-Saharan Africa,Lower middle income
Burkina Faso,BFA,1990,0.0,Sub-Saharan Africa,Low income
Bangladesh,BGD,1990,0.0,South Asia,Lower middle income
Bulgaria,BGR,1990,0.0,Europe & Central Asia,High income
Bahrain,BHR,1990,0.0,Middle East & North Africa,High income
"Bahamas, The",BHS,1990,0.0,Latin America & Caribbean,High income
Bosnia and Herzegovina,BIH,1990,0.0,Europe & Central Asia,Upper middle income
Belarus,BLR,1990,0.0,Europe & Central Asia,Upper middle income
Belize,BLZ,1990,0.0,Latin America & Caribbean,Upper middle income
Bermuda,BMU,1990,0.0,North America,High income
Bolivia,BOL,1990,0.0,Latin America & Caribbean,Lower middle income
Brazil,BRA,1990,0.0,Latin America & Caribbean,Upper middle income
Barbados,BRB,1990,0.0,Latin America & Caribbean,High income
Brunei Darussalam,BRN,1990,0.0,East Asia & Pacific,High income
Bhutan,BTN,1990,0.0,South Asia,Lower middle income
Botswana,BWA,1990,0.0,Sub-Saharan Africa,Upper middle income
Central African Republic,CAF,1990,0.0,Sub-Saharan Africa,Low income
Canada,CAN,1990,0.361,North America,High income
Switzerland,CHE,1990,0.596,Europe & Central Asia,High income
Chile,CHL,1990,0.0,Latin America & Caribbean,High income
China,CHN,1990,0.0,East Asia & Pacific,Upper middle income
Cote d'Ivoire,CIV,1990,0.0,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,1990,0.0,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",COD,1990,0.0,Sub-Saharan Africa,Low income
"Congo, Rep.",COG,1990,0.0,Sub-Saharan Africa,Lower middle income
Colombia,COL,1990,0.0,Latin America & Caribbean,Upper middle income
Comoros,COM,1990,0.0,Sub-Saharan Africa,Lower middle income
